ds,trend,cap,floor,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,battery_price,battery_price_lower,battery_price_upper,ev_stocks,ev_stocks_lower,ev_stocks_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,solar,solar_lower,solar_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-01,533296.2279736423,34500000.0,250000.0,7122372.013985205,7745382.461640966,533296.2279736423,533296.2279736423,6895645.320178111,6895645.320178111,6895645.320178111,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3431022.600000066,-3431022.600000066,-3431022.600000066,0.0,0.0,0.0,7428941.548151754
2011-01-01,669896.4777643589,34500000.0,250000.0,7054731.292400791,7695040.282795019,669896.4777643589,669896.4777643589,6722513.818746245,6722513.818746245,6722513.818746245,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3604154.101431933,-3604154.101431933,-3604154.101431933,0.0,0.0,0.0,7392410.296510603
2012-01-01,871158.3528506214,34500000.0,250000.0,6923362.427015001,7556643.022796137,871158.3528506214,871158.3528506214,6376883.176302034,6376883.176302034,6376883.176302034,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3949784.7438761434,-3949784.7438761434,-3949784.7438761434,0.0,0.0,0.0,7248041.529152656
2013-01-01,1167246.6711918213,34500000.0,250000.0,7732601.502115396,8388407.437449317,1167246.6711918213,1167246.6711918213,6895980.070652742,6895980.070652742,6895980.070652742,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3430687.8495254354,-3430687.8495254354,-3430687.8495254354,0.0,0.0,0.0,8063226.741844563
2014-01-01,1597400.4387068273,34500000.0,250000.0,8148398.664553819,8829449.96449537,1597400.4387068273,1597400.4387068273,6895645.320177426,6895645.320177426,6895645.320177426,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3431022.600000752,-3431022.600000752,-3431022.600000752,0.0,0.0,0.0,8493045.758884253
2015-01-01,2217373.6420740495,34500000.0,250000.0,8609481.530817272,9273650.896754023,2217373.6420740495,2217373.6420740495,6722513.818746762,6722513.818746762,6722513.818746762,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3604154.1014314154,-3604154.1014314154,-3604154.1014314154,0.0,0.0,0.0,8939887.460820813
2016-01-01,3097920.816466054,34500000.0,250000.0,9143035.849692076,9799494.079589725,3097920.816466054,3097920.816466054,6376883.176302551,6376883.176302551,6376883.176302551,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3949784.743875626,-3949784.743875626,-3949784.743875626,0.0,0.0,0.0,9474803.992768604
2017-01-01,4326766.963913883,34500000.0,250000.0,10877705.4428845,11558033.74834218,4326766.963913883,4326766.963913883,6895980.070651972,6895980.070651972,6895980.070651972,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3430687.8495262056,-3430687.8495262056,-3430687.8495262056,0.0,0.0,0.0,11222747.034565855
2018-01-01,5983741.392903302,34500000.0,250000.0,12545594.717069112,13202416.081583422,5983741.392903302,5983741.392903302,6895645.320178099,6895645.320178099,6895645.320178099,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3431022.6000000783,-3431022.6000000783,-3431022.6000000783,0.0,0.0,0.0,12879386.7130814
2019-01-01,8138119.205940623,34500000.0,250000.0,14528941.089735743,15197299.612669043,8138119.205940623,8138119.205940623,6722513.818744716,6722513.818744716,6722513.818744716,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3604154.1014334615,-3604154.1014334615,-3604154.1014334615,0.0,0.0,0.0,14860633.024685338
2020-01-01,10802428.733511973,34500000.0,250000.0,16847831.10055951,17508789.71779388,10802428.733511973,10802428.733511973,6376883.1763018295,6376883.1763018295,6376883.1763018295,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3949784.743876348,-3949784.743876348,-3949784.743876348,0.0,0.0,0.0,17179311.909813803
2021-01-01,13909598.598423135,34500000.0,250000.0,20464892.788491953,21151574.325455695,13909598.598423135,13909598.598423135,6895980.070652321,6895980.070652321,6895980.070652321,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3430687.849525857,-3430687.849525857,-3430687.849525857,0.0,0.0,0.0,20805578.669075456
2022-01-01,17265078.370281212,34500000.0,250000.0,23818778.77306188,24470275.529985797,17265078.370281212,17265078.370281212,6895645.320177377,6895645.320177377,6895645.320177377,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3431022.6000008,-3431022.6000008,-3431022.6000008,0.0,0.0,0.0,24160723.69045859
2023-01-01,20629020.141387206,34500000.0,250000.0,27021957.590035513,27693980.00951248,20629020.141387206,20629020.141387206,6722513.818744776,6722513.818744776,6722513.818744776,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3604154.1014334015,-3604154.1014334015,-3604154.1014334015,0.0,0.0,0.0,27351533.96013198
2024-01-01,23751159.542866234,34500000.0,250000.0,29815413.734660964,30466101.611694675,23751159.542866595,23751159.542866603,6376883.176305428,6376883.176305428,6376883.176305428,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3949784.7438727496,-3949784.7438727496,-3949784.7438727496,0.0,0.0,0.0,30128042.719171662
2025-01-01,26454916.27719893,34500000.0,250000.0,33039058.034983423,33679500.26202878,26454916.27357669,26454916.28095646,6895980.070651587,6895980.070651587,6895980.070651587,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3430687.8495265907,-3430687.8495265907,-3430687.8495265907,0.0,0.0,0.0,33350896.347850516
2026-01-01,28642638.50447746,34500000.0,250000.0,35208834.9924302,35861481.304616265,28642638.495328307,28642638.51380791,6895645.320178328,6895645.320178328,6895645.320178328,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3431022.5999998497,-3431022.5999998497,-3431022.5999998497,0.0,0.0,0.0,35538283.824655786
2027-01-01,30330113.54315285,34500000.0,250000.0,36740125.0837003,37384263.68898933,30330113.529862355,30330113.556864187,6722513.818744451,6722513.818744451,6722513.818744451,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3604154.1014337265,-3604154.1014337265,-3604154.1014337265,0.0,0.0,0.0,37052627.361897305
2028-01-01,31581409.438022763,34500000.0,250000.0,37642403.31895517,38282856.52806189,31581409.422807965,31581409.453377113,6376883.176303382,6376883.176303382,6376883.176303382,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3949784.7438747953,-3949784.7438747953,-3949784.7438747953,0.0,0.0,0.0,37958292.61432614
2029-01-01,32484470.11152723,34500000.0,250000.0,39059969.10229186,39693575.68325826,32484470.09645898,32484470.12718081,6895980.070652309,6895980.070652309,6895980.070652309,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3430687.849525869,-3430687.849525869,-3430687.849525869,0.0,0.0,0.0,39380450.18217954
2030-01-01,33118969.472391613,34500000.0,250000.0,39679561.75779083,40337852.68869737,33118969.458771143,33118969.486506194,6895645.320178617,6895645.320178617,6895645.320178617,3766521.55944995,3766521.55944995,3766521.55944995,-4039525.6588099585,-4039525.6588099585,-4039525.6588099585,10326667.920178177,10326667.920178177,10326667.920178177,10599672.019538186,10599672.019538186,10599672.019538186,-3431022.5999995605,-3431022.5999995605,-3431022.5999995605,0.0,0.0,0.0,40014614.79257023
